parameter,cond_A,cond_B,t,df,p,p_corrected,cohens_dz
kappa,Coh0_6,Coh1_0,4.29771645984233,35,0.000130857617844704,0.000130857617844704,-0.716286076640388
dprime,Coh0_6,Coh1_0,-3.5333852908427,35,0.00117477028776936,0.00117477028776936,0.588897548473784
