subject,condition,n_trials,kappa,dprime,nll
1,0.6,100,NaN,NaN,Inf
1,1,100,NaN,NaN,Inf
3,0.6,100,NaN,NaN,Inf
3,1,100,NaN,NaN,Inf
4,0.6,100,NaN,NaN,Inf
4,1,100,NaN,NaN,Inf
5,0.6,100,NaN,NaN,Inf
5,1,100,NaN,NaN,Inf
6,0.6,100,NaN,NaN,Inf
6,1,100,NaN,NaN,Inf
7,0.6,100,NaN,NaN,Inf
7,1,100,NaN,NaN,Inf
8,0.6,100,NaN,NaN,Inf
8,1,100,NaN,NaN,Inf
9,0.6,100,NaN,NaN,Inf
9,1,100,NaN,NaN,Inf
10,0.6,100,NaN,NaN,Inf
10,1,100,NaN,NaN,Inf
11,0.6,100,NaN,NaN,Inf
11,1,100,NaN,NaN,Inf
12,0.6,100,NaN,NaN,Inf
12,1,100,NaN,NaN,Inf
13,0.6,100,NaN,NaN,Inf
13,1,100,NaN,NaN,Inf
14,0.6,100,NaN,NaN,Inf
14,1,100,NaN,NaN,Inf
15,0.6,100,NaN,NaN,Inf
15,1,100,NaN,NaN,Inf
16,0.6,100,NaN,NaN,Inf
16,1,100,NaN,NaN,Inf
17,0.6,100,NaN,NaN,Inf
17,1,100,NaN,NaN,Inf
18,0.6,100,NaN,NaN,Inf
18,1,100,NaN,NaN,Inf
19,0.6,100,NaN,NaN,Inf
19,1,100,NaN,NaN,Inf
21,0.6,100,NaN,NaN,Inf
21,1,100,NaN,NaN,Inf
23,0.6,100,NaN,NaN,Inf
23,1,100,NaN,NaN,Inf
25,0.6,100,NaN,NaN,Inf
25,1,100,NaN,NaN,Inf
29,0.6,100,NaN,NaN,Inf
29,1,100,NaN,NaN,Inf
33,0.6,100,NaN,NaN,Inf
33,1,100,NaN,NaN,Inf
35,0.6,100,NaN,NaN,Inf
35,1,100,NaN,NaN,Inf
37,0.6,100,NaN,NaN,Inf
37,1,100,NaN,NaN,Inf
39,0.6,100,NaN,NaN,Inf
39,1,100,NaN,NaN,Inf
43,0.6,100,NaN,NaN,Inf
43,1,100,NaN,NaN,Inf
47,0.6,100,NaN,NaN,Inf
47,1,100,NaN,NaN,Inf
49,0.6,100,NaN,NaN,Inf
49,1,100,NaN,NaN,Inf
51,0.6,100,NaN,NaN,Inf
51,1,100,NaN,NaN,Inf
53,0.6,100,NaN,NaN,Inf
53,1,100,NaN,NaN,Inf
55,0.6,100,NaN,NaN,Inf
55,1,100,NaN,NaN,Inf
59,0.6,100,NaN,NaN,Inf
59,1,100,NaN,NaN,Inf
61,0.6,100,NaN,NaN,Inf
61,1,100,NaN,NaN,Inf
63,0.6,100,NaN,NaN,Inf
63,1,100,NaN,NaN,Inf
65,0.6,100,NaN,NaN,Inf
65,1,100,NaN,NaN,Inf
