subject,cond_a,cond_b,n_total,nll_full,bic_full,k_a_full,d_a_full,k_b_full,d_b_full,nll_A,bic_A,k_A,d_a_A,d_b_A,nll_B,bic_B,k_a_B,k_b_B,d_B
1,1,0.6,200,851.684199720437,1724.56166890707,3.35569424251387,2.13909867040189,4.11012665440518,2.05137923044583,851.877024226636,1719.64900055292,3.71030656612987,2.06707938914836,2.11348547180761,851.717138708806,1719.32922951726,3.45601397246371,4.0145177863215,2.08976504255869
3,1,0.6,200,788.905903980089,1599.00507742637,2.10006626728495,6,6.25152408809902,2.07455813838079,789.879847583475,1595.65464726659,5.53667129748418,2.80590803603753,2.1320603710227,791.559760126526,1599.0144723527,6.43959180046119,5.45380493150626,2.32218099306471
4,1,0.6,200,895.874982454275,1812.94323437474,3.37938658801379,1.72964016012587,2.92835789945579,1.9640994635914,895.982281639814,1807.85951537927,3.15178763488774,1.7559926733576,1.92024634796334,896.257180057506,1808.40931221466,3.16609130637003,3.18370375221506,1.82852635698629
5,1,0.6,200,820.378575098712,1661.95041966362,3.63687829804753,3.44054483755571,3.16380709127388,2.06759209887386,820.391086902817,1656.67712590528,3.18969208426035,3.80700788123597,2.06197488852168,821.794092164505,1659.48313642865,5.88091654072251,2.63265318712812,2.37391109157117
6,1,0.6,200,845.728002999664,1712.64927546552,1.11731427315694,6,3.32406618053445,2.00952910856486,847.346172513112,1710.58729712587,2.80604818567399,2.8407272374333,2.12503903629377,848.834561158156,1713.56407441596,3.31159458252189,2.7480416892177,2.31490538314594
7,1,0.6,200,886.242111991943,1793.67749345008,4.47603195370562,2.0781461988077,6.83061974820047,1.44801715901689,887.183196260599,1790.26134462084,5.76821459748565,1.95082595556818,1.45486147400652,890.796678871938,1797.48830984352,5.80129817491607,6.53081903911253,1.64527533792952
8,1,0.6,200,810.386311423153,1641.9658923125,3.40256367229758,2.88514034046243,4.51879493174585,2.26057229776304,810.589739976506,1637.07443205266,4.17106644810906,2.5676245191365,2.32584131845033,810.822051415247,1637.53905493014,4.32194837258517,4.16214940116866,2.4169852261338
9,1,0.6,200,893.585257587169,1808.36378464053,2.94230685474297,1.77836456068911,5.24546801140897,1.74579052891549,895.721279817183,1807.33751173401,4.02032073024709,1.65522057646692,1.81182854463785,893.595608658643,1803.08616941693,2.98088010264247,5.21798376855698,1.75828372443813
10,1,0.6,200,846.394031071363,1713.98133160892,4.13458907324031,2.1264727235043,2.88423706832519,2.28511329068971,846.850670841383,1709.59629378241,3.5409886309293,2.24076080573627,2.10508421770556,846.459164051265,1708.81328020217,3.99269556025735,3.0872108193753,2.18244126153483
11,1,0.6,200,893.724108038704,1808.6414855436,3.5289902476562,2.01821967199343,4.5308280454474,1.54340012069639,894.041310337105,1803.97757277385,4.11432119863234,1.93142336925773,1.55987608745327,895.794518016703,1807.48398813305,4.35785624947296,4.19342489027767,1.70548016748427
12,1,0.6,200,798.08107933762,1617.35542814143,2.57868772478141,3.24805251425265,1.65725664147249,6,798.140826727427,1612.1766055545,2.22682494694868,3.63055528939574,4.64560994652399,798.21556824564,1612.32608859092,1.91527124550603,2.55060989934351,4.11969132436627
13,1,0.6,200,847.755366242488,1716.70400195117,3.37878717604531,2.36054149593983,3.37682447221005,2.06460931785009,847.755367326469,1711.40568675258,3.37756607474615,2.36092331970798,2.06445947506246,847.981188688027,1711.8573294757,3.78707236552541,3.12623638722369,2.18278733664375
14,1,0.6,200,912.847424236321,1846.88811793883,2.87604749210944,1.84726141007628,5.1267702308938,1.51487640141953,914.535011310803,1844.96497472125,3.96801702045332,1.70339917792026,1.55048726497,914.014135574166,1843.92322324798,3.37207259862934,4.87050739116691,1.62468023537814
15,1,0.6,200,1154.1581011076,2329.50947168139,2.66152815539053,0.443343055635163,3.92927549460427,0.447655483627051,1154.29187430182,2324.47870070329,3.20632436576643,0.443420572229719,0.442383822932536,1154.15866670358,2324.21228550681,2.66115923616761,3.92095959711595,0.44547898355684
16,1,0.6,200,860.92302031216,1743.03931009051,1.94129728156393,3.47289600935521,2.71622813395068,1.95720485338175,861.042867365422,1737.98068683049,2.57212263747654,2.83815476337008,1.99427050713304,862.334256343559,1740.56346478676,3.40403461150664,2.21448837816795,2.24750910157858
17,1,0.6,200,954.482141385304,1930.1575522368,2.31622389583434,1.80961006492596,4.10061130894269,1.27765225904808,955.914674878874,1927.72430185739,3.30365924607128,1.63816314948247,1.29622807503068,957.674511562569,1931.24397522478,3.13171911304052,3.84271591030943,1.43904975951167
18,1,0.6,200,804.439749112209,1630.07276769061,3.03779216557021,3.89893305897401,6.37717630530477,1.93810539942211,805.202007218621,1626.29896653689,5.60975317409143,2.58322879411884,1.98057456097353,807.174629829299,1630.24421175824,6.38554677100127,5.65611856886465,2.16178568904243
19,1,0.6,200,899.551328892755,1820.2959272517,3.12056574016428,2.0074176232089,4.12027527890893,1.55774814136305,899.871820026178,1815.638592152,3.58364714862395,1.92344532296661,1.5885247584428,901.20099758264,1818.29694726492,3.79658371855306,3.60512325473797,1.72080094266137
21,1,0.6,200,849.900561123197,1720.99439171259,4.43235259512018,2.00249265267297,3.32935565515039,2.18119078695457,850.315360144533,1716.52567238871,3.86137209731106,2.07699536242944,2.07041776780486,850.044029387836,1715.98301087532,4.25084001623545,3.54095934269706,2.0738238106933
23,1,0.6,200,937.255431002978,1895.70413147215,3.99289868933563,1.62497642728702,3.67398895784439,1.41568926908048,937.296808785594,1890.48856967083,3.82290232563108,1.63579480219484,1.40931521020789,937.94472357609,1891.78439925182,4.22975501719251,3.49141418465432,1.51406698975748
25,1,0.6,200,954.803447230182,1930.80016392656,4.24948643711629,1.86457506863722,7.17508586372601,1.05276865998438,956.093391062337,1928.08173422432,5.57137713860311,1.76869867926356,1.04101980932266,966.689787492945,1949.27452708553,5.63327779225361,7.47993375891544,1.32846679145916
29,1,0.6,200,881.144212793018,1783.48169505223,2.82789901102886,2.75287645237897,4.36786716061035,1.49404089315098,881.733809841879,1779.3625717834,3.90166147830811,2.32572671767699,1.51107414591705,887.301520409126,1790.4979929179,4.92936205463185,3.85627499063044,1.75244102848199
33,1,0.6,200,968.245881150376,1957.68503176694,3.28468362080746,1.62790594331368,4.7976718498629,1.16585486113298,969.020640793606,1953.93623368686,3.9028842057056,1.57847183380767,1.17165206643007,972.204004391593,1960.30296088283,3.80558206129687,4.58625278504944,1.34181147435996
35,1,0.6,200,857.929816695018,1737.05290285623,3.59211933146381,2.27478517551185,3.3100980168506,1.92875732811424,857.956410810582,1731.80777372081,3.41243263605518,2.3226786564536,1.91240474137998,858.392046554573,1732.67904520879,4.08030294234552,3.02535584448718,2.07120851296785
37,1,0.6,200,847.551826679294,1716.29692282478,2.7738451162105,2.89296770888481,2.73834347383396,2.11014380376407,847.552090336297,1710.99913277224,2.74472046663112,2.91313893838484,2.10827073078677,848.180016919404,1712.25498593845,3.7447544534849,2.40865443782068,2.32455896323678
39,1,0.6,200,848.382203310135,1717.95767608646,1.03036984708004,6,3.60738266254187,1.9759083711128,849.566299377906,1715.02755085546,3.13142698281777,2.52646723168019,2.05899292081895,850.559058628594,1717.01306935683,3.42511833541843,3.16482615235498,2.2034444649849
43,1,0.6,200,890.626130596238,1802.44553065867,4.91725010044761,2.21646266382116,4.79783892238938,1.35376638718773,890.629065155469,1797.15308241058,4.85751572832833,2.22493926040827,1.35275110866785,898.619352820525,1813.13365774069,6.4851850371704,4.02564773036664,1.64541334214389
47,1,0.6,200,903.961401639488,1829.11607274517,4.6354625735667,1.7554498797309,4.66569186675924,1.53373332854851,903.96164902868,1823.818250157,4.64921816911152,1.75461348288053,1.53429558054685,904.656182139322,1825.20731637829,4.9091320212246,4.40928315851731,1.63504133800831
49,1,0.6,200,798.659770719542,1618.51281090528,1.54899377392759,6,1.31109431074345,6,798.693381126458,1613.28171435256,1.54056197097647,6,5.2205456519374,798.659770719542,1613.21449353873,1.54899395227659,1.31109453087666,6
51,1,0.6,200,861.013192681485,1743.21965482916,2.54686985683984,2.85940523768675,3.36107612069488,1.82339869415502,861.185022676408,1738.26499745246,3.13209397723561,2.52766912391756,1.85618564748101,862.919167344748,1741.73328678914,3.91431135672528,2.82144425225183,2.06915555479127
53,1,0.6,200,853.453555008777,1728.10037948375,3.60120058566195,2.08910002023347,4.09038501855727,2.01461867709578,853.522226014592,1722.93940412883,3.90957341404825,2.03604871879542,2.0394259741412,853.478775741947,1722.85250358354,3.72609555876572,4.02647611181144,2.04409201909756
55,1,0.6,200,866.462703743717,1754.11867695363,3.09636578634764,2.03347407963832,7.05478417188417,1.75992339844063,870.105897032702,1756.10674616505,4.80803080428742,1.79727544261531,1.83390040630696,867.026530458641,1749.94801301693,3.50407590096771,6.81038626567795,1.84072083835782
59,1,0.6,200,899.697851190444,1820.58897184708,3.62357188595989,2.14085401891847,4.28680974356516,1.4283466684286,899.83647058031,1815.56789326026,3.94749468404623,2.08162661442223,1.43981469554849,904.400901955512,1824.69675601067,4.69673561976213,3.66859366853407,1.66750342385081
61,1,0.6,200,810.872344443087,1642.93795835237,6.08845866338604,2.26906818756879,5.62759789490582,2.04119191446433,810.903834664569,1637.70262142878,5.84750299636551,2.29638196527839,2.02471617419811,811.148823383684,1638.19259886701,6.50216707472879,5.28427395464842,2.14557448550694
63,1,0.6,200,921.645865237973,1864.48499994214,2.80387057077864,2.06060533479924,4.12991690664794,1.37153076123244,922.412834646875,1860.72062139339,3.4898426314705,1.91627271340717,1.39147884420884,926.107281531594,1868.10951516283,3.7565660167497,3.72720129335927,1.58126219589981
65,1,0.6,200,986.321833068793,1993.83693560378,0.942152394684053,2.59567667401951,2.31894795563798,1.1599670084425,987.892530800365,1991.68001370037,1.77237084598947,1.83087218446726,1.21758007558942,992.219459567288,2000.33387123422,2.15386476010037,1.68889207914102,1.4327199584465
