subject,condition,n_trials,kappa,dprime,nll
1,0.6,100,4.11012665440518,2.05137923044583,424.281055760157
1,1,100,3.35569424251387,2.13909867040189,427.403143960281
3,0.6,100,6.25152408809902,2.07455813838079,407.447036255393
3,1,100,2.10006626728495,6,381.458867724696
4,0.6,100,2.92835789945579,1.9640994635914,442.634252558573
4,1,100,3.37938658801379,1.72964016012587,453.240729895702
5,0.6,100,3.16380709127388,2.06759209887386,433.836769775683
5,1,100,3.63687829804753,3.44054483755571,386.541805323028
6,0.6,100,3.32406618053445,2.00952910856486,434.819311916326
6,1,100,1.11731427315694,6,410.908691083338
7,0.6,100,6.83061974820047,1.44801715901689,467.335906159376
7,1,100,4.47603195370562,2.0781461988077,418.906205832567
8,0.6,100,4.51879493174585,2.26057229776304,409.520536481737
8,1,100,3.40256367229758,2.88514034046243,400.865774941416
9,0.6,100,5.24546801140897,1.74579052891549,439.182462022858
9,1,100,2.94230685474297,1.77836456068911,454.402795564312
10,0.6,100,2.88423706832519,2.28511329068971,427.062321683554
10,1,100,4.13458907324031,2.1264727235043,419.331709387809
11,0.6,100,4.5308280454474,1.54340012069639,462.293646402813
11,1,100,3.5289902476562,2.01821967199343,431.430461635891
12,0.6,100,1.65725664147249,6,392.239338075326
12,1,100,2.57868772478141,3.24805251425265,405.841741262294
13,0.6,100,3.37682447221005,2.06460931785009,430.773342824815
13,1,100,3.37878717604531,2.36054149593983,416.982023417673
14,0.6,100,5.1267702308938,1.51487640141953,462.749219325568
14,1,100,2.87604749210944,1.84726141007628,450.098204910752
15,0.6,100,3.92927549460427,0.447655483627051,577.063600598981
15,1,100,2.66152815539053,0.443343055635163,577.09450050862
16,0.6,100,2.71622813395068,1.95720485338175,445.667619914326
16,1,100,1.94129728156393,3.47289600935521,415.255400397834
17,0.6,100,4.10061130894269,1.27765225904808,493.725400160917
17,1,100,2.31622389583434,1.80961006492596,460.756741224387
18,0.6,100,6.37717630530477,1.93810539942211,417.003418358808
18,1,100,3.03779216557021,3.89893305897401,387.436330753401
19,0.6,100,4.12027527890893,1.55774814136305,462.594918732489
19,1,100,3.12056574016428,2.0074176232089,436.956410160266
21,0.6,100,3.32935565515039,2.18119078695457,425.689136425703
21,1,100,4.43235259512018,2.00249265267297,424.211424697494
23,0.6,100,3.67398895784439,1.41568926908048,480.028505591903
23,1,100,3.99289868933563,1.62497642728702,457.226925411075
25,0.6,100,7.17508586372601,1.05276865998438,520.042389344781
25,1,100,4.24948643711629,1.86457506863722,434.761057885401
29,0.6,100,4.36786716061035,1.49404089315098,468.504565759896
29,1,100,2.82789901102886,2.75287645237897,412.639647033122
33,0.6,100,4.7976718498629,1.16585486113298,505.748064397724
33,1,100,3.28468362080746,1.62790594331368,462.497816752652
35,0.6,100,3.3100980168506,1.92875732811424,439.737073918934
35,1,100,3.59211933146381,2.27478517551185,418.192742776084
37,0.6,100,2.73834347383396,2.11014380376407,437.60951948152
37,1,100,2.7738451162105,2.89296770888481,409.942307197774
39,0.6,100,3.60738266254187,1.9759083711128,433.837389682698
39,1,100,1.03036984708004,6,414.544813627436
43,0.6,100,4.79783892238938,1.35376638718773,482.449306745547
43,1,100,4.91725010044761,2.21646266382116,408.176823850691
47,0.6,100,4.66569186675924,1.53373332854851,462.52738328558
47,1,100,4.6354625735667,1.7554498797309,441.434018353909
49,0.6,100,1.31109431074345,6,403.185331020865
49,1,100,1.54899377392759,6,395.474439698678
51,0.6,100,3.36107612069488,1.82339869415502,446.143289056903
51,1,100,2.54686985683984,2.85940523768675,414.869903624582
53,0.6,100,4.09038501855727,2.01461867709578,426.709680402618
53,1,100,3.60120058566195,2.08910002023347,426.743874606159
55,0.6,100,7.05478417188417,1.75992339844063,430.404623591535
55,1,100,3.09636578634764,2.03347407963832,436.058080152183
59,0.6,100,4.28680974356516,1.4283466684286,475.472986477939
59,1,100,3.62357188595989,2.14085401891847,424.224864712505
61,0.6,100,5.62759789490582,2.04119191446433,413.609221861363
61,1,100,6.08845866338604,2.26906818756879,397.263122581724
63,0.6,100,4.12991690664794,1.37153076123244,482.817702089819
63,1,100,2.80387057077864,2.06060533479924,438.828163148154
65,0.6,100,2.31894795563798,1.1599670084425,515.679326957944
65,1,100,0.942152394684053,2.59567667401951,470.642506110849
