parameter,cond_A,cond_B,t,df,p,p_corrected,cohens_dz
kappa,SD8,SD16,3.3853868307625,37,0.00169550567057009,0.00229332167187035,-0.549182262763662
kappa,SD8,SD32,5.06491485968795,37,1.15402402469655e-05,3.46207207408966e-05,-0.821637686444897
kappa,SD16,SD32,3.52524558601991,37,0.00114666083593518,0.00229332167187035,-0.571870348799098
dprime,SD8,SD16,-0.812605141660797,37,0.421642418528766,0.421642418528766,0.131821960898379
dprime,SD8,SD32,1.69604503255283,37,0.0982772069123743,0.196554413824749,-0.27513483548249
dprime,SD16,SD32,2.53549196418095,37,0.0155856553530338,0.0467569660591014,-0.411311109695062
