experiment,condition,n_trials,kappa,dprime,nll,r2
motionSD,8,2850,4.12946961433264,1.78830391113142,12595.4498531274,0.998332707095941
motionSD,16,2850,3.20517231982411,1.78290139482776,12846.9556395871,0.987260897903759
motionSD,32,2850,2.12003221095307,1.45880903260244,13973.6212192879,0.98766620706142
motionCoh,0.6,3600,4.67664016809763,1.56717837772215,16525.769001285,0.987434187391496
motionCoh,1,3600,4.14117981574555,1.87265748027451,15674.8569392794,0.996664550564141
